plan_id,category,root,request_symbol,schema,stype_in,start,end,estimated_records,estimated_billable_bytes,estimated_gb,estimated_cost_usd
BASE-4Y,OHLCV-1m,6J,6J.v.0,ohlcv-1m,continuous,2022-09-22,2026-09-22,1385190,77570640,0.077571,5.05703017
BASE-4Y,Definitions,6J,6J.FUT,definition,parent,2022-09-22,2026-09-22,151033,78537160,0.078537,0.12434383
BASE-4Y,Statistics,6J,6J.v.0,statistics,continuous,2022-09-22,2026-09-22,391952,31356160,0.031356,0.0292027
BASE-4Y,Status,6J,6J.v.0,status,continuous,2022-09-22,2026-09-22,8463,338520,0.000339,0.00126109
BASE-4Y,OHLCV-1m,6B,6B.v.0,ohlcv-1m,continuous,2022-09-22,2026-09-22,1298657,72724792,0.072725,4.74111684
BASE-4Y,Definitions,6B,6B.FUT,definition,parent,2022-09-22,2026-09-22,151949,79013480,0.079013,0.12509796
BASE-4Y,Statistics,6B,6B.v.0,statistics,continuous,2022-09-22,2026-09-22,340435,27234800,0.027235,0.02536438
BASE-4Y,Status,6B,6B.v.0,status,continuous,2022-09-22,2026-09-22,8399,335960,0.000336,0.00125155
BASE-4Y,OHLCV-1m,ZC,ZC.v.0,ohlcv-1m,continuous,2022-09-22,2026-09-22,821813,46021528,0.046022,3.00026216
BASE-4Y,Definitions,ZC,ZC.FUT,definition,parent,2022-09-22,2026-09-22,373958,194458160,0.194458,0.30787557
BASE-4Y,Statistics,ZC,ZC.v.0,statistics,continuous,2022-09-22,2026-09-22,201271,16101680,0.016102,0.01499586
BASE-4Y,Status,ZC,ZC.v.0,status,continuous,2022-09-22,2026-09-22,18612,744480,0.000744,0.0027734
BASE-4Y,OHLCV-1m,ZS,ZS.v.0,ohlcv-1m,continuous,2022-09-22,2026-09-22,932192,52202752,0.052203,3.4032321
BASE-4Y,Definitions,ZS,ZS.FUT,definition,parent,2022-09-22,2026-09-22,666375,346515000,0.346515,0.54861931
BASE-4Y,Statistics,ZS,ZS.v.0,statistics,continuous,2022-09-22,2026-09-22,276359,22108720,0.022109,0.02059035
BASE-4Y,Status,ZS,ZS.v.0,status,continuous,2022-09-22,2026-09-22,18501,740040,0.00074,0.00275686
BASE-4Y,OHLCV-1m,ZW,ZW.v.0,ohlcv-1m,continuous,2022-09-22,2026-09-22,824172,46153632,0.046154,3.00887436
BASE-4Y,Definitions,ZW,ZW.FUT,definition,parent,2022-09-22,2026-09-22,324764,168877280,0.168877,0.26737468
BASE-4Y,Statistics,ZW,ZW.v.0,statistics,continuous,2022-09-22,2026-09-22,202201,16176080,0.016176,0.01506515
BASE-4Y,Status,ZW,ZW.v.0,status,continuous,2022-09-22,2026-09-22,18652,746080,0.000746,0.00277936
MBP-1M,MBP-1,NQ,NQ.v.0,mbp-1,continuous,2026-08-22,2026-09-22,204827503,16386200240,16.3862,27.46950875
MBP-1M,MBP-1,ES,ES.v.0,mbp-1,continuous,2026-08-22,2026-09-22,133010032,10640802560,10.640803,17.83803535
MBP-1M,MBP-1,CL,CL.v.0,mbp-1,continuous,2026-08-22,2026-09-22,43699690,3495975200,3.495975,5.86058512
MBP-1M,MBP-1,GC,GC.v.0,mbp-1,continuous,2026-08-22,2026-09-22,55091362,4407308960,4.407309,7.38832739
MBP-3M,MBP-1,NQ,NQ.v.0,mbp-1,continuous,2026-06-22,2026-09-22,743023870,59441909600,59.44191,99.64726612
MBP-3M,MBP-1,ES,ES.v.0,mbp-1,continuous,2026-06-22,2026-09-22,489597502,39167800160,39.1678,65.66014168
MBP-3M,MBP-1,CL,CL.v.0,mbp-1,continuous,2026-06-22,2026-09-22,101466909,8117352720,8.117353,13.6077729
MBP-3M,MBP-1,GC,GC.v.0,mbp-1,continuous,2026-06-22,2026-09-22,128221041,10257683280,10.257683,17.1957816
MBP-6M,MBP-1,NQ,NQ.v.0,mbp-1,continuous,2026-03-22,2026-09-22,1498806356,119904508480,119.904508,201.00559598
MBP-6M,MBP-1,ES,ES.v.0,mbp-1,continuous,2026-03-22,2026-09-22,1077275304,86182024320,86.182024,144.4738766
MBP-6M,MBP-1,CL,CL.v.0,mbp-1,continuous,2026-03-22,2026-09-22,198688771,15895101680,15.895102,26.64624064
MBP-6M,MBP-1,GC,GC.v.0,mbp-1,continuous,2026-03-22,2026-09-22,248934517,19914761360,19.914761,33.38472028
